   RXTXRobot API version 4.5.5
---------------------------------

Connecting to robot, please wait...

--> Most recent version from website: 4.5.5
--> You are on the most up-to-date version of the API! (version 4.5.5)
Connected!


Firmware version: 4.5.2
API version: 4.5.5
0.0 0.0 0.0 -0.0
0.0 0.031754 0.01424 0.021503
3.340587 0.007247 0.064442 -0.290705
0.0 -0.034615 -0.131996 0.196693
1.117677 0.06306 0.081245 -0.100153
0.0 -0.032447 0.050739 0.116419
2.22941 0.066273 0.145958 -0.1754
0.0 -0.098153 -0.160706 0.152992
1.051461 -0.030582 -0.132008 -0.017544
1.607056 0.128705 0.292435 -0.136936
0.0 -0.128811 -0.292938 0.135361
0.0 0.125426 0.227585 -0.061398
0.0 3.0E-6 4.0E-6 -1.0E-5
1.938964 0.00333 0.064888 -0.076067
0.0 -0.066372 -0.146317 0.175083
1.155383 -0.031777 -0.014347 -0.022007
0.0 0.031788 0.01432 0.021626
1.530974 0.032426 -0.050877 -0.117523
0.0 -0.067534 -0.028465 0.170588
1.565356 0.035032 0.079044 -0.054512
1.562603 -0.062346 -0.146343 -0.039616
0.0 0.06239 0.146362 0.038578
0.0 -0.033847 -0.19685 0.057907
2.992776 0.06837 0.328342 -0.255928
0.0 -0.037887 -0.196907 0.272457
2.952341 0.069525 0.210632 -0.251177
0.0 -0.00333 -0.064972 0.075626
2.207265 -0.027293 -0.06728 -0.093744
0.0 0.027331 0.067307 0.092735
0.0 -0.098085 -0.160496 0.153105
1.565356 0.035032 0.079044 -0.054512
0.0 -0.003278 -0.064854 0.075508
0.0 -0.012831 0.034409 -0.056009
2.489315 -0.014408 -0.101551 -0.038286
0.0 0.011157 0.036747 0.11244
2.254812 0.016085 0.030285 -0.020565
0.0 7.0E-6 -4.0E-6 9.7E-5
2.204426 -0.027249 -0.067158 -0.093439
0.0 0.030579 0.131981 0.017088
1.11206 0.062991 0.081116 -0.099915
1.154536 -0.031743 -0.014301 -0.021944
0.0 -0.034568 -0.131908 0.19648
3.340587 0.007247 0.064442 -0.290705
0.0 0.011458 0.037399 0.112751
2.256374 0.015832 0.029762 -0.020658
0.0 0.031757 0.014282 0.021461
0.0 -0.082478 -0.176628 0.194891
4.030025 0.023038 0.09409 -0.31126
0.0 -0.094332 0.296356 0.199045
0.0 -1.931471 1.506241 2.876884
7.54036 -2.15922 -1.377884 -1.495657
0.0 -1.803892 1.869209 4.8771
7.650889 -3.961535 -1.787941 -2.838576
0.0 -1.940693 2.304253 3.627645
0.0 0.0 -0.684059 -2.126652
0.0 -2.47838 -0.593674 0.559855
0.0 -2.054187 1.450737 2.395302
15.436254 -1.932939 0.141205 2.584816
17.692383 -2.607766 -6.111185 -2.614359
10.572728 -2.565197 -5.135908 3.511998
0.0 0.0 -5.135908 -19.016899
0.0 -3.327024 -0.22303 12.059029
13.449753 -5.657066 -3.132568 -7.879742
13.449753 -5.657066 -3.132568 -0.0
0.0 -1.673867 -1.548767 1.279221
0.0 -6.690821 -7.412079 7.940987

Closing robot connection...
Resetting servos and motors...
0.0 0.0 -7.412079 5.415558
6.833488 -1.096887 0.107056 -2.387345
0.0 0.052924 -0.188004 0.529972
0.0 0.052924 -0.188004 0.529972
Connection closed!
0.0 0.052924 -0.188004 0.529972
0.0 0.052924 -0.188004 0.529972
0.0 0.0 -0.0 -0.0
0.0 -5.0E-6 -1.5E-5 -9.0E-6
0.0 -5.0E-6 -1.5E-5 -9.0E-6
0.0 -5.0E-6 -1.5E-5 -9.0E-6
0.0 0.090982 -0.013161 0.16869
2.055095 -0.090869 0.013397 -0.168565
2.055095 -0.090869 0.013397 -0.168565
2.055095 -0.090869 0.013397 -0.168565
0.0 -5.0E-6 -1.5E-5 -9.0E-6
0.0 -5.0E-6 -1.5E-5 -9.0E-6
0.0 -5.0E-6 -1.5E-5 -9.0E-6
0.0 -5.0E-6 -1.5E-5 -9.0E-6
0.0 -5.0E-6 -1.5E-5 -9.0E-6
0.0 -5.0E-6 -1.5E-5 -9.0E-6
0.0 -5.0E-6 -1.5E-5 -9.0E-6
0.0 0.090982 -0.013161 0.16869
0.027976 3.0E-6 -8.0E-6 5.0E-6
0.027976 3.0E-6 -8.0E-6 5.0E-6
2.055095 -0.090869 0.013397 -0.168565

65 c
